=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:44:23 =~=~=~=~=~=~=~=~=~=~=~=
803.27
803.24
803.24
803.29
803.31
803.37
803.31
803.29
803.36
803.31
803.31
53.22
55.62
48.47
36.7
803
16.29
10.26
8.09
8.21
7.55
9.81
15.97
803.05
46.44
48.65
58.52
62.51
803.07
56.15
49.43
33.7
22.07
15.3
11.18
8.42
8.2
9.57
803.08
803.07
36.48
46.65
52
56.68
60.95
803.01
803.03
803.07
803
803.03
803.03
803.03
803.07
57.93
43.01
31.59
20.79
803.1
15.06
18.54
17.58
10.5
803.32
803.2
73.45
803.12
803
803.05
803.07
803
