=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:41:20 =~=~=~=~=~=~=~=~=~=~=~=
Distance: 17.90
Distance: 17.58
Distance: 17.58
Distance: 17.48
Distance: 17.58
Distance: 17.58
Distance: 17.58
Distance: 17.58
Distance: 17.58
Distance: 17.58
Distance: 17.58
Distance: 18.86
Distance: 17.90
Distance: 803.20
Distance: 803.25
Distance: 17.58
Distance: 18.54
Distance: 19.72
Distance: 802.96
Distance: 803.03
Distance: 803.00
Distance: 802.96
Distance: 29.77
Distance: 802.96
Distance: 37.39
Distance: 49.58
Distance: 43.72
Distance: 44.13
Distance: 34.21
Distance: 22.69
Distance: 15.30
Distance: 10.50
Distance: 10.84
Distance: 803.20
Distance: 803.15
Distance: 4.94
Distance: 4.96
Distance: 8.20
Distance: 17.90
Distance: 29.10
Distance: 43.94
Distance: 803.19
Distance: 67.30
Distance: 803.17
Distance: 803.20
Distance: 803.22
Distance: 56.11
Distance: 39.74
Distance: 803.25
Distance: 9.47
Distance: 8.20
Distance: 7.13
Distance: 6.89
Distance: 5.27
Distance: 4.94
Distance: 5.61
Distance: 3.64
Distance: 3.64
Distance: 5.92
Distance: 9.57
Distance: 17.89
Distance: 25.02
Distance: 34.21
Distance: 803.13
Distance: 803.19
Distance: 803.22
Distance: 50.04
Distance: 48.98
Distance: 49.43
Distance: 42.27
Distance: 35.67
Distance: 24.71
Distance: 18.44
Distance: 14.95
Distance: 803.13
Distance: 803.17
Distance: 803.17
Distance: 58.53
Distance: 56.85
Distance: 803.13
Distance: 59.84
Distance: 18.54
Distance: 23.46
Distance: 35.79
Distance: 42.15
Distance: 41.09
Distance: 50.44
Distance: 52.00
Distance: 51.81
Distance: 51.64
Distance: 43.61
Distance: 37.85
Distance: 802.89
Distance: 18.86
Distance: 14.61
Distance: 10.50
Distance: 10.50
Distance: 9.84
Distance: 9.57
Distance: 9.48
Distance: 14.61
Distance: 20.13
Distance: 802.91
Distance: 36.24
Distance: 41.23
Distance: 802.95
Distance: 77.84
Distance: 803.01
Distance: 803.00
Distance: 43.51
Distance: 802.95
Distance: 802.96
Distance: 802.95
Distance: 802.98
